Date,Open,High,Low,Price
"Oct 03, 2016","1,313.50","1,316.80","1,308.20","1,309.00"
"Sep 30, 2016","1,320.60","1,327.70","1,312.90","1,313.30"
"Sep 29, 2016","1,321.20","1,325.00","1,314.70","1,321.70"
"Sep 28, 2016","1,319.40","1,319.40","1,319.40","1,319.40"
"Sep 27, 2016","1,328.00","1,328.70","1,325.90","1,325.90"
"Sep 26, 2016","1,335.20","1,341.80","1,335.20","1,339.70"
"Sep 23, 2016","1,337.20","1,337.20","1,337.20","1,337.20"
"Sep 22, 2016","1,338.60","1,340.40","1,338.20","1,340.40"
"Sep 21, 2016","1,326.30","1,326.90","1,324.00","1,326.90"
"Sep 20, 2016","1,313.70","1,313.70","1,313.70","1,313.70"
"Sep 19, 2016","1,313.50","1,313.50","1,313.50","1,313.50"
"Sep 16, 2016","1,312.20","1,312.60","1,305.80","1,305.80"
"Sep 15, 2016","1,320.70","1,320.70","1,310.80","1,313.50"
"Sep 14, 2016","1,319.20","1,322.30","1,319.20","1,321.50"
"Sep 13, 2016","1,324.60","1,324.60","1,315.00","1,319.00"
"Sep 12, 2016","1,327.00","1,329.30","1,319.90","1,321.00"
"Sep 09, 2016","1,338.50","1,338.50","1,328.00","1,330.10"
"Sep 08, 2016","1,344.80","1,345.40","1,335.70","1,336.80"
"Sep 07, 2016","1,348.40","1,350.50","1,343.90","1,344.30"
"Sep 06, 2016","1,323.30","1,349.40","1,323.20","1,349.40"
"Sep 02, 2016","1,309.60","1,326.70","1,309.20","1,322.10"
"Sep 01, 2016","1,305.30","1,313.10","1,301.50","1,312.20"
"Aug 31, 2016","1,310.30","1,313.70","1,306.30","1,306.90"
"Aug 30, 2016","1,322.00","1,322.10","1,308.00","1,311.70"
"Aug 29, 2016","1,315.00","1,323.00","1,315.00","1,322.90"
"Aug 26, 2016","1,323.80","1,340.50","1,320.10","1,321.50"
"Aug 25, 2016","1,321.40","1,324.00","1,317.00","1,320.10"
"Aug 24, 2016","1,337.20","1,337.20","1,322.90","1,324.40"
"Aug 23, 2016","1,337.00","1,341.20","1,334.30","1,340.60"
"Aug 22, 2016","1,334.40","1,337.70","1,333.30","1,337.70"
"Aug 19, 2016","1,350.10","1,350.10","1,338.60","1,340.40"
"Aug 18, 2016","1,351.30","1,354.40","1,348.20","1,351.20"
"Aug 17, 2016","1,345.50","1,347.30","1,338.60","1,342.70"
"Aug 16, 2016","1,342.20","1,355.00","1,341.00","1,350.50"
"Aug 15, 2016","1,336.50","1,340.60","1,333.60","1,340.30"
"Aug 12, 2016","1,336.80","1,351.80","1,333.20","1,335.80"
"Aug 11, 2016","1,341.60","1,350.40","1,334.80","1,342.50"
"Aug 10, 2016","1,344.80","1,354.20","1,344.30","1,344.30"
"Aug 09, 2016","1,331.80","1,339.40","1,328.50","1,339.00"
"Aug 08, 2016","1,330.00","1,335.40","1,327.80","1,333.40"
"Aug 05, 2016","1,357.60","1,360.80","1,333.70","1,336.40"
"Aug 04, 2016","1,354.40","1,361.60","1,347.00","1,358.80"
"Aug 03, 2016","1,362.40","1,364.70","1,353.30","1,356.10"
"Aug 02, 2016","1,352.10","1,366.00","1,346.60","1,364.40"
"Aug 01, 2016","1,348.80","1,353.50","1,345.60","1,351.40"
"Jul 29, 2016","1,333.20","1,353.30","1,325.80","1,349.00"
"Jul 28, 2016","1,339.50","1,344.30","1,330.10","1,332.30"
"Jul 27, 2016","1,326.00","1,326.60","1,326.00","1,326.60"
"Jul 26, 2016","1,315.20","1,320.70","1,315.20","1,320.70"
"Jul 25, 2016","1,315.70","1,319.30","1,313.80","1,319.30"
"Jul 22, 2016","1,330.70","1,330.70","1,320.40","1,323.10"
"Jul 21, 2016","1,312.80","1,330.50","1,312.80","1,330.50"
"Jul 20, 2016","1,331.00","1,337.50","1,315.50","1,318.80"
"Jul 19, 2016","1,328.50","1,333.20","1,326.40","1,331.50"
